,SPY,JPM,Position,Trade
2008-01-02,1.0,0.0,0,0
2008-01-03,0.9995459704880817,0.9929815440603068,0,0
2008-01-04,0.9750283768444948,0.9703665193657395,0,0
2008-01-07,0.9741959894059781,0.9802443462438264,0,0
2008-01-08,0.9584562996594778,0.9412529243566415,0,0
2008-01-09,0.9685206205069995,0.9545100077982843,0,0
2008-01-10,0.9748770336738555,0.9799844034312453,0,0
2008-01-11,0.9670071888006054,0.9688068624902523,0,0
2008-01-14,0.9748013620885356,0.9807642318689888,0,0
2008-01-15,0.9533863034430571,0.9287756693527424,0,0
2008-01-16,0.9451381006432085,0.9823238887444762,0,0
2008-01-17,0.9206961785849413,0.9493111515466598,0,0
2008-01-18,0.9112372304199773,0.9386534962308293,0,0
2008-01-22,0.9019296254256526,0.9688068624902523,0,0
2008-01-23,0.9236473704124101,1.083961528463738,0,0
2008-01-24,0.9314415437003405,1.066025474395633,0,0
2008-01-25,0.9179720015134317,1.0348323368858852,0,0
2008-01-28,0.9331819901626938,1.080582271900182,0,0
2008-01-29,0.9377979568671964,1.1250324928515727,0,0
2008-01-30,0.9308361710177828,1.1226930075383414,0,0
2008-01-31,0.9478622777147181,1.1239927216012477,0,0
2008-02-01,0.9630722663639802,1.1440083181700025,0,0
2008-02-04,0.9509648127128263,1.0959188978424745,0,0
2008-02-05,0.9254634884600832,1.0405510787626722,0,0
2008-02-06,0.9180476730987513,1.036651936573954,0,0
2008-02-07,0.9241013999243284,1.06966467377177,0,0
2008-02-08,0.9181990162693908,1.0389914218871847,0,0
2008-02-11,0.9228906545592129,1.0278138809461919,0,0
2008-02-12,0.9314415437003405,1.027034052508448,0,0
2008-02-13,0.9409761634506242,1.0457499350142967,0,0
2008-02-14,0.9326522890654558,1.0103977125032493,0,0
2008-02-15,0.9324252743094967,1.0254743956329608,0,0
2008-02-19,0.9350737797956866,1.015596568754874,0,0
2008-02-20,0.937873628452516,1.0231349103197296,0,0
2008-02-21,0.9300794551645857,1.021315310631661,0,0
2008-02-22,0.935754824063564,1.0415908500129971,0,0
2008-02-25,0.9475595913734393,1.0439303353262281,0,0
2008-02-26,0.9546727203934922,1.036651936573954,0,0
2008-02-27,0.9536889897843359,1.0530283337665713,0,0
2008-02-28,0.9443813847900113,1.0062386275019497,0,0
2008-02-29,0.9233446840711312,0.9638679490512088,0,0
2008-03-03,0.9211502080968597,0.9441122952950352,0,0
2008-03-04,0.9175936435868332,0.9292955549779048,0,0
2008-03-05,0.923420355656451,0.9186378996620744,0,0
2008-03-06,0.9042754445705637,0.8861450480894204,0,0
2008-03-07,0.894967839576239,0.8905640759033012,0,0
2008-03-10,0.8831630722663639,0.8650896802703406,0,0
2008-03-11,0.9149451381006432,0.9209773849753055,0,0
2008-03-12,0.9063942489595157,0.9155185859110996,0,0
2008-03-13,0.9083617101778282,0.9035612165323629,0,0
2008-03-14,0.8942867953083617,0.8663893943332467,0,0
2008-03-17,0.8852818766553159,0.9558097218611906,0,0
2008-03-18,0.922058267120696,1.0127371978164805,0,0
2008-03-19,0.899205448354143,1.0070184559396933,0,0
2008-03-20,0.9158531971244798,1.0899402131531064,0,0
2008-03-24,0.9341657207718501,1.1037171822199117,0,0
2008-03-25,0.9350737797956866,1.092019755653756,0,0
2008-03-26,0.9236473704124101,1.0460098778268783,0,0
2008-03-27,0.9206961785849413,1.0163763971926176,0,0
2008-03-28,0.9119182746878547,1.0127371978164805,0,0
2008-03-31,0.9150964812712826,1.0184559396932675,0,0
2008-04-01,0.9472569050321604,1.114374837535742,0,0
2008-04-02,0.9478622777147181,1.105276839095399,0,0
2008-04-03,0.9502837684449489,1.106316610345724,0,0
2008-04-04,0.9492243662504729,1.0894203275279437,0,0
2008-04-07,0.9496783957623912,1.0886404990902003,0,0
2008-04-08,0.948694665153235,1.0722641018975825,0,0
2008-04-09,0.9418842224744608,1.0590070184559397,0,0
2008-04-10,0.9431706394248959,1.048349363140109,0,0
2008-04-11,0.9248581157775255,1.016636340005199,0,0
2008-04-14,0.9217555807794173,0.9919417728099817,0,0
2008-04-15,0.9238743851683693,1.006758513127112,0,0
2008-04-16,0.9489216799091941,1.0746035872108137,0,0
2008-04-17,0.9502837684449489,1.0785027293995322,0,0
2008-04-18,0.9601967461218313,1.0938393553418249,0,0
2008-04-21,0.9607264472190692,1.0811021575253446,0,0
2008-04-22,0.9564888384411654,1.0912399272160125,0,0
2008-04-23,0.9549754067347711,1.079282557837276,0,0
2008-04-24,0.9591373439273553,1.1226930075383414,0,0
2008-04-25,0.9679909194097616,1.1424486612945153,0,0
2008-04-28,0.9682179341657208,1.1315310631661035,0,0
2008-04-29,0.9643586833144154,1.1252924356641538,0,0
2008-04-30,0.958683314415437,1.1390694047309593,0,0
2008-05-01,0.9785092697692016,1.1772809981804002,0,0
2008-05-02,0.9812334468407111,1.1632440863010138,0,0
2008-05-05,0.9765418085508892,1.1473875747335587,0,0
2008-05-06,0.9850170261066968,1.1520665453600207,0,0
2008-05-07,0.9674612183125235,1.1133350662854171,0,0
2008-05-08,0.9649640559969731,1.1008578112815182,0,0
2008-05-09,0.9631479379493,1.1133350662854171,0,0
2008-05-12,0.973968974650019,1.1291915778528723,0,0
2008-05-13,0.9741203178206582,1.087080842214713,0,0
2008-05-14,0.9760877790389709,1.097478554717962,0,0
2008-05-15,0.9883465758607644,1.1239927216012477,0,0
2008-05-16,0.9892546348846007,1.1122952950350924,0,0
2008-05-19,0.9919031403707909,1.0992981544060307,0,0
2008-05-20,0.9838819523269012,1.044710163763972,0,0
