,SPY,JPM
2008-01-02,,
2008-01-03,,
2008-01-04,,
2008-01-07,,
2008-01-08,,
2008-01-09,,
2008-01-10,,
2008-01-11,,
2008-01-14,,
2008-01-15,-0.6656978475441188,-0.6467971364482699
2008-01-16,-0.7632962608708062,0.20062236881687268
2008-01-17,-1.335382306289272,-0.23980917528938545
2008-01-18,-1.4505067040945898,-0.3562827855158292
2008-01-22,-1.5340229037780875,0.12776987046834412
2008-01-23,-0.6637344309238176,1.6643289896692104
2008-01-24,-0.26505318504071684,1.206636066075468
2008-01-25,-0.5401462809768506,0.6498219841738924
2008-01-28,0.11302396679195369,1.1550187999385353
2008-01-29,0.40756628957787705,1.5772286949749175
2008-01-30,0.2414805803739744,1.2356080816418382
2008-01-31,0.8355454604561201,1.0365910741237512
2008-02-01,1.219288491487961,1.0249451258431759
2008-02-04,0.6490812356049949,0.13607612533341878
2008-02-05,-0.3290714000620155,-0.7156078602104319
2008-02-06,-0.569820806832759,-0.7072760701267488
2008-02-07,-0.3319847619805743,-0.26119153913440346
2008-02-08,-0.5400034220675539,-0.6854921021697996
2008-02-11,-0.3395757584140595,-0.7696826481299335
2008-02-12,-0.016728320826468315,-0.6516782477552974
2008-02-13,0.28270686334372314,-0.28801894894545915
2008-02-14,0.043686289321702064,-0.6290479161562114
2008-02-15,0.14386273342117512,-0.25214367668458165
2008-02-19,0.2939017807849708,-0.28046468405931735
2008-02-20,0.34863277745069554,-0.1473825438071032
2008-02-21,0.03086282916865206,-0.15169374971536656
2008-02-22,0.18977670959913867,0.18147188427530866
2008-02-25,0.5008029316203405,0.208029937817698
2008-02-26,0.6369961534892251,0.09005611530407708
2008-02-27,0.5235680809242395,0.2880787537756412
2008-02-28,0.18662119742681174,-0.3297042740566813
2008-02-29,-0.5157491583907875,-0.8785691879430894
2008-03-03,-0.5537518198650316,-1.0554610386737056
2008-03-04,-0.6182605865474725,-1.1556406848851106
2008-03-05,-0.3640294571143685,-1.1706673654322015
2008-03-06,-0.9482219376721325,-1.473357245660886
2008-03-07,-1.1374590661755275,-1.1963604870119746
2008-03-10,-1.336739900302988,-1.337262207880327
2008-03-11,-0.06433936362590932,-0.28540447074484304
2008-03-12,-0.2022621972759429,-0.1561113044646909
2008-03-13,-0.0022985079843315277,-0.18510851120506938
2008-03-14,-0.40675459554980753,-0.6373621970315478
2008-03-17,-0.6054610870908477,0.8111597209986066
2008-03-18,0.7144835064027875,1.5932905513576932
2008-03-19,-0.02785288403353395,1.3434897405057737
2008-03-20,0.5356790197585455,2.299143020360144
2008-03-24,1.0548300317623727,2.1317759209657803
2008-03-25,0.8948639236091168,1.5647834565418726
2008-03-26,0.4516698994932434,0.6754417699404799
2008-03-27,0.2936594478230601,0.08415878282253639
2008-03-28,-0.03438527244243434,-0.12881159977003206
2008-03-31,0.005110221251973933,-0.26326331464168473
2008-04-01,0.9292575903483471,0.8712503755613921
2008-04-02,0.8567171568747574,0.6065335541600896
2008-04-03,0.7574775141873151,0.4774142636244257
2008-04-04,0.6003451653437567,0.24377535752782434
2008-04-07,0.5609104949144177,0.2542569018484988
2008-04-08,0.47793422132123153,0.05434341466805886
2008-04-09,0.17502584631298274,-0.14808967409921478
2008-04-10,0.14118064526241053,-0.33971795864539506
2008-04-11,-0.5423199379348739,-0.7843481201697492
2008-04-14,-0.6731567326014636,-1.0923838293394459
2008-04-15,-0.5193265795859934,-0.744448765108584
2008-04-16,0.35150129698908084,0.25118798610435594
2008-04-17,0.39905515235901257,0.346146304845873
2008-04-18,0.7060665681938773,0.5560289319418174
2008-04-21,0.6852639954830458,0.3873381195389301
2008-04-22,0.5101345362270087,0.5026783301147846
2008-04-23,0.41139978983774117,0.30506235207628585
2008-04-24,0.4997893530114732,0.8050501468988778
2008-04-25,0.6545516180108967,0.8944054069868516
2008-04-28,0.49971446757689925,0.543868384887052
2008-04-29,0.2271709644360678,0.29403433400406587
2008-04-30,-0.00042601737690051275,0.3904113892648128
2008-05-01,0.5793567369212549,0.7630021230921612
2008-05-02,0.5993056566195312,0.4813646560289327
2008-05-05,0.38536894462306603,0.18346276071773188
2008-05-06,0.5747498489169155,0.16406413783294013
2008-05-07,-0.06182042714050936,-0.38466022389685606
2008-05-08,-0.1658402147439516,-0.5195339302752028
2008-05-09,-0.21097952456773914,-0.3197202360815729
2008-05-12,0.13541224083506537,-0.10947139946917435
2008-05-13,0.10747973189221356,-0.6119301472876781
2008-05-14,0.11502390004116922,-0.42250488025109173
2008-05-15,0.49452616323337045,-0.003281374223002064
2008-05-16,0.4977228182397464,-0.0909290262465694
2008-05-19,0.5343742585218064,-0.20049579544168056
2008-05-20,0.2688284599139993,-0.7930907699350072
2008-05-21,-0.28957954966650423,-1.0821470833587017
2008-05-22,-0.2925451669185712,-0.7846584425176673
2008-05-23,-0.6985118391598766,-0.8920886363335901
2008-05-27,-0.4206152469379145,-0.5309722977374562
2008-05-28,-0.24310681633339173,-0.4971706394340175
2008-05-29,-0.06220678171292221,-0.1789331573474636
2008-05-30,0.0704339356779419,-0.23960338155936187
2008-06-02,-0.1817610074672218,-0.3827369640346093
2008-06-03,-0.25608231899466966,-0.3345285878135593
2008-06-04,-0.1834794410999929,-0.354645357214429
2008-06-05,0.4377870856343875,-0.18035880856014955
2008-06-06,-0.5458901627048951,-0.7806182217029292
2008-06-09,-0.4445702515039171,-1.5380580570525642
2008-06-10,-0.5415446957303814,-1.1042904923522692
2008-06-11,-0.8940338451680384,-1.3348139158335934
2008-06-12,-0.642484751873382,-0.8217169702885593
