,SPY,JPM
2008-01-02,,
2008-01-03,,
2008-01-04,,
2008-01-07,,
2008-01-08,,
2008-01-09,,
2008-01-10,,
2008-01-11,,
2008-01-14,,
2008-01-15,,
2008-01-16,-0.9495761258256727,-0.2112151087672092
2008-01-17,-1.3827887098901919,-0.42448245060742296
2008-01-18,-1.1400558853227236,-0.3328804565680122
2008-01-22,-1.297943195325691,-0.16250058515067897
2008-01-23,-0.6151739675644315,1.1614215393974388
2008-01-24,-0.6506360141564997,0.8793765831757613
2008-01-25,-1.0128636892622214,0.3859012695082774
2008-01-28,-0.5910383014174798,0.8675730336467494
2008-01-29,-0.6447880630349979,1.1247908900652073
2008-01-30,-0.3867891488907876,1.6249832708476575
2008-01-31,0.09170839905560257,1.1014415180331478
2008-02-01,0.8697085950839276,1.5950235099469967
2008-02-04,0.8259120610117312,1.2905679439137157
2008-02-05,0.5102563905956533,0.532544894508021
2008-02-06,-0.06959235561789517,-0.4217745534182542
2008-02-07,-0.10237258679442915,-0.040215648172111734
2008-02-08,0.04419210747510698,-0.03530789333552509
2008-02-11,-0.1591360706391292,-0.46384115667155246
2008-02-12,-0.0824934557624623,-0.7741705070181579
2008-02-13,0.23617055942312554,-0.6235798787894027
2008-02-14,-0.249631491845588,-0.8873324093211211
2008-02-15,-0.5341062871346461,-0.9079998794666314
2008-02-19,-0.2616017683288968,-0.6621569746764654
2008-02-20,0.2815449178634591,-0.20360430934324317
2008-02-21,0.2760663532673403,-0.1878497228048978
2008-02-22,0.26713495375627333,-0.2806962492312063
2008-02-25,0.6163513372052977,-0.02935268889563606
2008-02-26,0.6607344438980106,0.0018256284363943746
2008-02-27,0.4704432174083618,0.1373216605438409
2008-02-28,0.1049897067436988,-0.3742420629073876
2008-02-29,-0.1402287153988023,-0.44128150577019143
2008-03-03,-0.17832239761153962,-0.711200680521124
2008-03-04,-0.2973683084822601,-0.7568878613697082
2008-03-05,-0.23816376218867352,-0.8960106601729946
2008-03-06,-0.46056469573022935,-1.1409978082236127
2008-03-07,-0.7462637370229035,-1.2435416246989042
2008-03-10,-1.1857774080285965,-1.4569349516524435
2008-03-11,-0.7106774155365666,-0.9726372861182758
2008-03-12,-0.8545341450504499,-1.1266938141373175
2008-03-13,-0.6480534538627598,-0.8952539295792333
2008-03-14,-0.527761303178259,-0.8878907041685096
2008-03-17,-0.6624365066685647,0.03256333946793257
2008-03-18,0.12747217305515748,0.6601342957409709
2008-03-19,-0.43314023014691966,0.7121726127922302
2008-03-20,0.2706116653074229,1.7968050576314396
2008-03-24,0.8295308662172213,1.872751430950494
2008-03-25,1.0996622911847636,2.0590235211798467
2008-03-26,0.21124544758678068,1.032867999707007
2008-03-27,0.32426945107616306,0.825332858224613
2008-03-28,0.11033719326160027,0.9117966679023195
2008-03-31,0.4593463660699645,1.3552215346486185
2008-04-01,1.3021302321334616,1.2772097759339955
2008-04-02,0.5443821176857051,0.6729902021222528
2008-04-03,1.0640597577064812,0.7316144910914516
2008-04-04,0.6967949319552154,-0.07176260047269813
2008-04-07,0.3391822372561837,-0.17865132511072393
2008-04-08,0.3024086552040262,-0.21457851322010418
2008-04-09,0.39577744200975334,0.03285182197840916
2008-04-10,0.47991630336361346,0.18716835074604507
2008-04-11,0.29561125051971243,-0.03667806774558805
2008-04-14,0.1709555109103779,-0.278979332619382
2008-04-15,-0.40539500255563715,-0.8509042565627395
2008-04-16,0.05988732646407797,-0.2929087162325318
2008-04-17,0.03973261271367998,-0.2717411102570451
2008-04-18,0.24817832348851396,-0.035006105507944855
2008-04-21,0.2495155375165833,-0.1240401723734207
2008-04-22,0.18788361874758921,0.07559393730088776
2008-04-23,0.29036801761722797,0.08734124305588557
2008-04-24,0.3450039442989661,0.5070915119057227
2008-04-25,0.8807279392288516,0.935512722333881
2008-04-28,0.9486960914604773,1.0731054632224206
2008-04-29,0.8299283715452594,0.8867397425030886
2008-04-30,0.22523657051974943,0.4185133640672448
2008-05-01,0.5753434542670234,0.6747136999055325
2008-05-02,0.43480657190002037,0.44656944189051
2008-05-05,0.33658488557482774,0.4292362781576865
2008-05-06,0.5775753175787668,0.38405796395448033
2008-05-07,0.27550101226191437,0.18792450731607138
2008-05-08,0.1492804387023248,-0.22558946282483236
2008-05-09,-0.05048732633303475,-0.27451835518526624
2008-05-12,0.14684367047758334,-0.08465899834434318
2008-05-13,0.2222671098015719,-0.3432227197355552
2008-05-14,0.36710836240989336,-0.36394685199040555
2008-05-15,0.22102194387175825,-0.4348997383813644
2008-05-16,0.1871427533474417,-0.42302157152401065
2008-05-19,0.3233932244411741,-0.40772330127865036
2008-05-20,0.018952812855464428,-0.8234574070713669
2008-05-21,0.03550123759041883,-0.7910565615456058
2008-05-22,0.08498408151408919,-0.5963107397320445
2008-05-23,-0.12319649527270186,-0.8080943959181784
2008-05-27,-0.19143801911747155,-0.7939672351637366
2008-05-28,-0.11155556519604362,-0.5351490859800263
2008-05-29,-0.058126889742895774,-0.4807906834833072
2008-05-30,-0.2363980100098799,-0.7616978633917368
2008-06-02,-0.4361554817827573,-0.8315246809892358
2008-06-03,-0.5848363897200098,-0.7907042645578426
2008-06-04,-0.45262334502525114,-0.45322736132495345
2008-06-05,0.20620576381691413,-0.130249282430347
2008-06-06,-0.37638515508230264,-0.6249569229352483
2008-06-09,-0.09465847345094691,-0.9907870839630368
2008-06-10,-0.3136551465279048,-0.9576353174289554
2008-06-11,-0.6553001703607705,-1.1521319316812524
2008-06-12,-0.6757284170886202,-1.103920958680453
2008-06-13,-0.5000849342912517,-0.7117870149337531
