,Symbol,Order,Shares,AAPL,IBM,GOOG,XOM,AAPL_stock,IBM_stock,GOOG_stock,XOM_stock,cash,equity_value,port_value,commissions,market_impact
2011-01-10,AAPL,BUY,1500.0,340.99,143.41,614.21,72.02,1500,0,0,0,485947.62500000006,511485.0,997432.625,0.0,0.0
2011-01-11,,,,340.18,143.06,616.01,72.56,1500,0,0,0,485947.62500000006,510270.0,996217.625,0.0,0.0
2011-01-12,,,,342.95,144.82,616.87,73.41,1500,0,0,0,485947.62500000006,514425.0,1000372.625,0.0,0.0
2011-01-13,AAPL,SELL,1500.0,344.2,144.55,616.69,73.54,0,0,0,0,999656.175,0.0,999656.175,0.0,0.0
2011-01-13,IBM,BUY,4000.0,344.2,144.55,616.69,73.54,0,4000,0,0,418555.22500000015,578200.0,996755.2250000001,0.0,0.0
2011-01-14,,,,346.99,145.7,624.18,74.62,0,4000,0,0,418555.22500000015,582800.0,1001355.2250000001,0.0,0.0
2011-01-18,,,,339.19,146.33,639.63,75.45,0,4000,0,0,418555.22500000015,585320.0,1003875.2250000001,0.0,0.0
2011-01-19,,,,337.39,151.22,631.75,75.0,0,4000,0,0,418555.22500000015,604880.0,1023435.2250000001,0.0,0.0
2011-01-20,,,,331.26,151.33,626.77,74.53,0,4000,0,0,418555.22500000015,605320.0,1023875.2250000001,0.0,0.0
2011-01-21,,,,325.32,151.04,611.83,75.71,0,4000,0,0,418555.22500000015,604160.0,1022715.2250000001,0.0,0.0
2011-01-24,,,,336.01,155.05,611.08,75.34,0,4000,0,0,418555.22500000015,620200.0,1038755.2250000001,0.0,0.0
2011-01-25,,,,339.94,156.81,619.91,75.43,0,4000,0,0,418555.22500000015,627240.0,1045795.2250000001,0.0,0.0
2011-01-26,GOOG,BUY,1000.0,342.38,156.42,616.5,76.37,0,4000,1000,0,-201037.22499999974,1242180.0,1041142.7750000003,0.0,0.0
2011-01-27,,,,341.74,156.45,616.79,76.58,0,4000,1000,0,-201037.22499999974,1242590.0,1041552.7750000003,0.0,0.0
2011-01-28,,,,334.66,154.64,600.99,75.72,0,4000,1000,0,-201037.22499999974,1219550.0,1018512.7750000003,0.0,0.0
2011-01-31,,,,337.87,157.35,600.36,77.34,0,4000,1000,0,-201037.22499999974,1229760.0,1028722.7750000003,0.0,0.0
2011-02-01,,,,343.55,158.87,611.04,80.44,0,4000,1000,0,-201037.22499999974,1246520.0,1045482.7750000003,0.0,0.0
2011-02-02,XOM,SELL,4000.0,342.85,158.62,612.0,79.96,0,4000,1000,-4000,117193.62500000025,926640.0,1043833.6250000002,0.0,0.0
2011-02-03,,,,341.97,158.84,610.15,79.99,0,4000,1000,-4000,117193.62500000025,925550.0,1042743.6250000002,0.0,0.0
2011-02-04,,,,345.02,159.3,610.98,79.84,0,4000,1000,-4000,117193.62500000025,928820.0,1046013.6250000002,0.0,0.0
2011-02-07,,,,350.38,160.09,614.29,80.46,0,4000,1000,-4000,117193.62500000025,932810.0,1050003.6250000002,0.0,0.0
2011-02-08,,,,353.68,161.93,618.38,79.97,0,4000,1000,-4000,117193.62500000025,946220.0,1063413.6250000002,0.0,0.0
2011-02-09,,,,356.63,160.56,616.5,79.55,0,4000,1000,-4000,117193.62500000025,940540.0,1057733.6250000002,0.0,0.0
2011-02-10,XOM,BUY,4000.0,353.02,160.02,616.44,80.18,0,4000,1000,0,-205139.92499999976,1256520.0,1051380.0750000002,0.0,0.0
2011-02-11,,,,355.32,159.78,624.5,79.81,0,4000,1000,0,-205139.92499999976,1263620.0,1058480.0750000002,0.0,0.0
2011-02-14,,,,357.64,159.17,628.15,81.83,0,4000,1000,0,-205139.92499999976,1264830.0,1059690.0750000002,0.0,0.0
2011-02-15,,,,358.36,158.8,624.15,79.96,0,4000,1000,0,-205139.92499999976,1259350.0,1054210.0750000002,0.0,0.0
2011-02-16,,,,361.58,159.34,624.22,80.65,0,4000,1000,0,-205139.92499999976,1261580.0,1056440.0750000002,0.0,0.0
2011-02-17,,,,356.77,160.16,625.26,80.83,0,4000,1000,0,-205139.92499999976,1265900.0,1060760.0750000002,0.0,0.0
2011-02-18,,,,349.06,160.75,630.08,81.43,0,4000,1000,0,-205139.92499999976,1273080.0,1067940.0750000002,0.0,0.0
2011-02-22,,,,337.16,157.93,610.21,82.34,0,4000,1000,0,-205139.92499999976,1241930.0,1036790.0750000002,0.0,0.0
2011-02-23,,,,341.16,156.2,611.32,83.91,0,4000,1000,0,-205139.92499999976,1236120.0,1030980.0750000002,0.0,0.0
2011-02-24,,,,341.41,156.78,608.82,82.85,0,4000,1000,0,-205139.92499999976,1235940.0,1030800.0750000002,0.0,0.0
2011-02-25,,,,346.67,158.25,610.04,82.24,0,4000,1000,0,-205139.92499999976,1243040.0,1037900.0750000002,0.0,0.0
2011-02-28,,,,351.7,157.86,613.4,82.42,0,4000,1000,0,-205139.92499999976,1244840.0,1039700.0750000002,0.0,0.0
2011-03-01,,,,347.82,156.0,600.76,81.72,0,4000,1000,0,-205139.92499999976,1224760.0,1019620.0750000002,0.0,0.0
2011-03-02,,,,350.61,156.18,600.79,81.99,0,4000,1000,0,-205139.92499999976,1225510.0,1020370.0750000002,0.0,0.0
2011-03-03,GOOG,SELL,1000.0,358.02,159.42,609.56,82.7,0,4000,0,0,401362.3250000002,637680.0,1039042.3250000002,0.0,0.0
2011-03-03,IBM,SELL,2200.0,358.02,159.42,609.56,82.7,0,1800,0,0,750322.7550000002,286956.0,1037278.7550000002,0.0,0.0
2011-03-04,,,,358.46,157.81,600.62,81.99,0,1800,0,0,750322.7550000002,284058.0,1034380.7550000002,0.0,0.0
2011-03-07,,,,353.84,155.96,591.66,81.64,0,1800,0,0,750322.7550000002,280728.0,1031050.7550000002,0.0,0.0
2011-03-08,,,,354.24,158.25,592.31,81.53,0,1800,0,0,750322.7550000002,284850.0,1035172.7550000002,0.0,0.0
